number_id,arxiv_id,quantity,value,unit_or_context,source_anchor,boundary,evidence_id,source_url,verification_status
N01,2606.13790,SPS generation setup,4096 samples; T=2500 steps,Table 4 at kappa=0.27,PDF p.17 Table 4,Setup-specific; not a universal throughput figure.,E-260613790-R,https://arxiv.org/abs/2606.13790,full_text_manual
N02,2606.13790,reported generation time,about 1.1 to 2.1,minutes for L=16 to 64,PDF p.17 Table 4,Hardware and implementation context must accompany the number.,E-260613790-R,https://arxiv.org/abs/2606.13790,full_text_manual
N03,2606.13790,reported training time,about 1.1 to 1.2,hours for L=16 to 64,PDF p.17 Table 4,"Uses T=250 training steps, 15000 optimization steps and batch size 12.",E-260613790-R,https://arxiv.org/abs/2606.13790,full_text_manual
N04,2409.18861,SNF improvement over NE-MCMC,about 2,factor at matched KL/ESS,PDF pp.6-7 Figs. 2-3,Specific SU(3) protocol; not a universal speedup.,E-240918861-R,https://arxiv.org/abs/2409.18861,full_text_manual
N05,2409.18861,protocol scaling,n_step proportional to (L/a)^4,fixed ESS or KL when all links change,PDF p.7 conclusion,The tested all-link protocol becomes expensive on fine lattices.,E-240918861-R,https://arxiv.org/abs/2409.18861,full_text_manual
N06,2601.20708,defect-SNF improvement,about 3,factor at fixed estimator quality,PDF pp.4-6,"Specific defect sizes, beta and architecture.",E-260120708-R,https://arxiv.org/abs/2601.20708,full_text_manual
N07,2604.10209,inference-time speedups vs HMC,48; 1245; 66,factors at L=16;64;256,PDF p.8 Fig. 4 text,Inference comparison excludes one-time offline training.,E-260410209-R,https://arxiv.org/abs/2604.10209,full_text_manual
N08,2604.10209,largest reported training cost,10.3,A100 GPU-hours at L=256,PDF p.8 and Appendix Table V,Paper-specific model and hardware.,E-260410209-R,https://arxiv.org/abs/2604.10209,full_text_manual
N09,2003.06413,topological-observable efficiency,about 1500 vs HMC; 200 vs heat bath,"factor in beta=7, 16x16 2D U(1)",PDF p.4 results,Proof-of-principle setup and topological quantity only.,E-200306413-R,https://arxiv.org/abs/2003.06413,full_text_manual
N10,2510.26081,reweighted U(1) ESS,15 to 65,percent,PDF p.27 results,8x8 lattices and reported beta values; ESS decreases with volume.,E-251026081-R,https://arxiv.org/abs/2510.26081,full_text_manual
N11,2607.08505,cross-volume training sizes,4; 8; 16; 32 -> unseen 64,3D phi4 lattice linear sizes,PDF pp.20-21 summary,Transfer is limited and residual infrared bias remains.,E-260708505-R,https://arxiv.org/abs/2607.08505,full_text_manual
N12,2605.12597,training-time scaling change,L^2 -> log L,one-layer to two-layer/local architecture,PDF pp.12-15,Controlled Gaussian O(n to infinity) model; not a universal law.,E-260512597-R,https://arxiv.org/abs/2605.12597,full_text_manual
N13,2512.19575,transfer-learning speedup,about 2-3 in kappa; 1.5-2.5 in L,reported training-epoch factors,PDF pp.16-17 conclusion,Small studied lattices and parameter ranges.,E-251219575-R,https://arxiv.org/abs/2512.19575,full_text_manual
