paper_id	arxiv_id	pdf_url	pdf_file	text_file
P001	2606.13790	https://arxiv.org/pdf/2606.13790v1	sources/pdfs/2606.13790.pdf	sources/text/2606.13790.txt
P002	1904.12072	https://arxiv.org/pdf/1904.12072v3	sources/pdfs/1904.12072.pdf	sources/text/1904.12072.txt
P003	2003.06413	https://arxiv.org/pdf/2003.06413v1	sources/pdfs/2003.06413.pdf	sources/text/2003.06413.txt
P004	2101.08176	https://arxiv.org/pdf/2101.08176v3	sources/pdfs/2101.08176.pdf	sources/text/2101.08176.txt
P005	2111.15141	https://arxiv.org/pdf/2111.15141v2	sources/pdfs/2111.15141.pdf	sources/text/2111.15141.txt
P006	2201.08862	https://arxiv.org/pdf/2201.08862v3	sources/pdfs/2201.08862.pdf	sources/text/2201.08862.txt
P007	2201.13117	https://arxiv.org/pdf/2201.13117v3	sources/pdfs/2201.13117.pdf	sources/text/2201.13117.txt
P008	2210.03139	https://arxiv.org/pdf/2210.03139v1	sources/pdfs/2210.03139.pdf	sources/text/2210.03139.txt
P009	2211.01364	https://arxiv.org/pdf/2211.01364v3	sources/pdfs/2211.01364.pdf	sources/text/2211.01364.txt
P010	2302.13834	https://arxiv.org/pdf/2302.13834v2	sources/pdfs/2302.13834.pdf	sources/text/2302.13834.txt
P011	2302.14082	https://arxiv.org/pdf/2302.14082v2	sources/pdfs/2302.14082.pdf	sources/text/2302.14082.txt
P012	2309.17082	https://arxiv.org/pdf/2309.17082v2	sources/pdfs/2309.17082.pdf	sources/text/2309.17082.txt
P013	2310.11979	https://arxiv.org/pdf/2310.11979v1	sources/pdfs/2310.11979.pdf	sources/text/2310.11979.txt
P014	2311.03578	https://arxiv.org/pdf/2311.03578v1	sources/pdfs/2311.03578.pdf	sources/text/2311.03578.txt
P015	2402.06561	https://arxiv.org/pdf/2402.06561v2	sources/pdfs/2402.06561.pdf	sources/text/2402.06561.txt
P016	2404.09723	https://arxiv.org/pdf/2404.09723v3	sources/pdfs/2404.09723.pdf	sources/text/2404.09723.txt
P017	2412.00200	https://arxiv.org/pdf/2412.00200v3	sources/pdfs/2412.00200.pdf	sources/text/2412.00200.txt
P018	2512.19575	https://arxiv.org/pdf/2512.19575v1	sources/pdfs/2512.19575.pdf	sources/text/2512.19575.txt
P019	2604.10209	https://arxiv.org/pdf/2604.10209v1	sources/pdfs/2604.10209.pdf	sources/text/2604.10209.txt
P020	2605.11199	https://arxiv.org/pdf/2605.11199v1	sources/pdfs/2605.11199.pdf	sources/text/2605.11199.txt
P021	2607.08505	https://arxiv.org/pdf/2607.08505v1	sources/pdfs/2607.08505.pdf	sources/text/2607.08505.txt
