PaperID,ArxivID,RootBibliography,AuthoritativeURL,LocalPDF,PDFIntegrity,FullTextAnchors,Status
P_1904_12072,1904.12072,yes,https://arxiv.org/abs/1904.12072,sources/pdfs/1904.12072.pdf,readable,four_dimensions,green_check
P_2003_06413,2003.06413,yes,https://arxiv.org/abs/2003.06413,sources/pdfs/2003.06413.pdf,readable,four_dimensions,green_check
P_2007_07115,2007.07115,yes,https://arxiv.org/abs/2007.07115,sources/pdfs/2007.07115.pdf,readable,four_dimensions,green_check
P_2106_05934,2106.05934,yes,https://arxiv.org/abs/2106.05934,sources/pdfs/2106.05934.pdf,readable,four_dimensions,green_check
P_2107_00734,2107.00734,yes,https://arxiv.org/abs/2107.00734,sources/pdfs/2107.00734.pdf,readable,four_dimensions,green_check
P_2110_02673,2110.02673,yes,https://arxiv.org/abs/2110.02673,sources/pdfs/2110.02673.pdf,readable,four_dimensions,green_check
P_2111_15141,2111.15141,yes,https://arxiv.org/abs/2111.15141,sources/pdfs/2111.15141.pdf,readable,four_dimensions,green_check
P_2201_08862,2201.08862,yes,https://arxiv.org/abs/2201.08862,sources/pdfs/2201.08862.pdf,readable,four_dimensions,green_check
P_2202_11712,2202.11712,yes,https://arxiv.org/abs/2202.11712,sources/pdfs/2202.11712.pdf,readable,four_dimensions,green_check
P_2207_00283,2207.00283,yes,https://arxiv.org/abs/2207.00283,sources/pdfs/2207.00283.pdf,readable,four_dimensions,green_check
P_2210_03139,2210.03139,yes,https://arxiv.org/abs/2210.03139,sources/pdfs/2210.03139.pdf,readable,four_dimensions,green_check
P_2302_13834,2302.13834,yes,https://arxiv.org/abs/2302.13834,sources/pdfs/2302.13834.pdf,readable,four_dimensions,green_check
P_2309_17082,2309.17082,yes,https://arxiv.org/abs/2309.17082,sources/pdfs/2309.17082.pdf,readable,four_dimensions,green_check
P_2410_02711,2410.02711,yes,https://arxiv.org/abs/2410.02711,sources/pdfs/2410.02711.pdf,readable,four_dimensions,green_check
P_2502_02127,2502.02127,yes,https://arxiv.org/abs/2502.02127,sources/pdfs/2502.02127.pdf,readable,four_dimensions,green_check
P_2502_05504,2502.05504,yes,https://arxiv.org/abs/2502.05504,sources/pdfs/2502.05504.pdf,readable,four_dimensions,green_check
P_2510_01328,2510.01328,yes,https://arxiv.org/abs/2510.01328,sources/pdfs/2510.01328.pdf,readable,four_dimensions,green_check
P_2510_26081,2510.26081,yes,https://arxiv.org/abs/2510.26081,sources/pdfs/2510.26081.pdf,readable,four_dimensions,green_check
P_2512_19575,2512.19575,yes,https://arxiv.org/abs/2512.19575,sources/pdfs/2512.19575.pdf,readable,four_dimensions,green_check
P_2601_19552,2601.19552,yes,https://arxiv.org/abs/2601.19552,sources/pdfs/2601.19552.pdf,readable,four_dimensions,green_check
P_2602_09045,2602.09045,yes,https://arxiv.org/abs/2602.09045,sources/pdfs/2602.09045.pdf,readable,four_dimensions,green_check
P_2604_10209,2604.10209,n/a,https://arxiv.org/abs/2604.10209,sources/pdfs/2604.10209.pdf,readable,four_dimensions,green_check
P_2605_06134,2605.06134,yes,https://arxiv.org/abs/2605.06134,sources/pdfs/2605.06134.pdf,readable,four_dimensions,green_check
P_2605_11199,2605.11199,yes,https://arxiv.org/abs/2605.11199,sources/pdfs/2605.11199.pdf,readable,four_dimensions,green_check
P_2605_12597,2605.12597,n/a,https://arxiv.org/abs/2605.12597,sources/pdfs/2605.12597.pdf,readable,four_dimensions,green_check
P_ROOT,2606.13790,n/a,https://arxiv.org/abs/2606.13790,sources/pdfs/2606.13790.pdf,readable,four_dimensions,green_check
P_2607_08505,2607.08505,n/a,https://arxiv.org/abs/2607.08505,sources/pdfs/2607.08505.pdf,readable,four_dimensions,green_check
